eq_id	root_symbol	template_symbol	cell_symbol	target_voc	target_unv	analysis__root_id	analysis__root	analysis__binyan	analysis__cell	analysis__form_id	analysis__r1	analysis__r2	analysis__r3
R000|T1|C2	R000	T1	C2	הִלְזַשְׁתְּ	הלזשת	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.2FSG	SYN-LX-40a7443772.PST.2FSG	ל	ז	שׁ
R000|T1|C3	R000	T1	C3	הִלְזִישׁ	הלזיש	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.3MSG	SYN-LX-40a7443772.PST.3MSG	ל	ז	שׁ
R000|T1|C4	R000	T1	C4	הִלְזִישָׁה	הלזישה	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.3FSG	SYN-LX-40a7443772.PST.3FSG	ל	ז	שׁ
R000|T1|C5	R000	T1	C5	הִלְזַשְׁנוּ	הלזשנו	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.1PL	SYN-LX-40a7443772.PST.1PL	ל	ז	שׁ
R000|T1|C6	R000	T1	C6	הִלְזַשְׁתֶּם	הלזשתם	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.2MPL	SYN-LX-40a7443772.PST.2MPL	ל	ז	שׁ
R000|T1|C7	R000	T1	C7	הִלְזַשְׁתֶּן	הלזשתן	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.2FPL	SYN-LX-40a7443772.PST.2FPL	ל	ז	שׁ
R000|T1|C8	R000	T1	C8	הִלְזִישׁוּ	הלזישו	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.3PL	SYN-LX-40a7443772.PST.3PL	ל	ז	שׁ
R000|T2|C0	R000	T2	C0	לֻזַּשְׁתִּי	לזשתי	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.1SG	SYN-LX-23ba2d68ef.PST.1SG	ל	ז	שׁ
R000|T2|C1	R000	T2	C1	לֻזַּשְׁתָּ	לזשת	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.2MSG	SYN-LX-23ba2d68ef.PST.2MSG	ל	ז	שׁ
R000|T2|C2	R000	T2	C2	לֻזַּשְׁתְּ	לזשת	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.2FSG	SYN-LX-23ba2d68ef.PST.2FSG	ל	ז	שׁ
R000|T2|C3	R000	T2	C3	לֻזַּשׁ	לזש	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.3MSG	SYN-LX-23ba2d68ef.PST.3MSG	ל	ז	שׁ
R000|T2|C4	R000	T2	C4	לֻזְּשָׁה	לזשה	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.3FSG	SYN-LX-23ba2d68ef.PST.3FSG	ל	ז	שׁ
R000|T2|C5	R000	T2	C5	לֻזַּשְׁנוּ	לזשנו	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.1PL	SYN-LX-23ba2d68ef.PST.1PL	ל	ז	שׁ
R000|T2|C6	R000	T2	C6	לֻזַּשְׁתֶּם	לזשתם	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.2MPL	SYN-LX-23ba2d68ef.PST.2MPL	ל	ז	שׁ
R000|T2|C7	R000	T2	C7	לֻזַּשְׁתֶּן	לזשתן	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.2FPL	SYN-LX-23ba2d68ef.PST.2FPL	ל	ז	שׁ
R000|T2|C8	R000	T2	C8	לֻזְּשׁוּ	לזשו	SYN-RT-e6bfdc3a00	לזשׁ	PUAL	PST.3PL	SYN-LX-23ba2d68ef.PST.3PL	ל	ז	שׁ
R000|T3|C0	R000	T3	C0	לִזַּשְׁתִּי	לזשתי	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.1SG	SYN-LX-6649a6d404.PST.1SG	ל	ז	שׁ
R000|T3|C1	R000	T3	C1	לִזַּשְׁתָּ	לזשת	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.2MSG	SYN-LX-6649a6d404.PST.2MSG	ל	ז	שׁ
R000|T3|C2	R000	T3	C2	לִזַּשְׁתְּ	לזשת	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.2FSG	SYN-LX-6649a6d404.PST.2FSG	ל	ז	שׁ
R000|T3|C3	R000	T3	C3	לִזֵּשׁ	לזש	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.3MSG	SYN-LX-6649a6d404.PST.3MSG	ל	ז	שׁ
R000|T3|C4	R000	T3	C4	לִזְּשָׁה	לזשה	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.3FSG	SYN-LX-6649a6d404.PST.3FSG	ל	ז	שׁ
R000|T3|C5	R000	T3	C5	לִזַּשְׁנוּ	לזשנו	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.1PL	SYN-LX-6649a6d404.PST.1PL	ל	ז	שׁ
R000|T3|C6	R000	T3	C6	לִזַּשְׁתֶּם	לזשתם	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.2MPL	SYN-LX-6649a6d404.PST.2MPL	ל	ז	שׁ
R000|T3|C7	R000	T3	C7	לִזַּשְׁתֶּן	לזשתן	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.2FPL	SYN-LX-6649a6d404.PST.2FPL	ל	ז	שׁ
R000|T3|C8	R000	T3	C8	לִזְּשׁוּ	לזשו	SYN-RT-e6bfdc3a00	לזשׁ	PIEL	PST.3PL	SYN-LX-6649a6d404.PST.3PL	ל	ז	שׁ
R000|T4|C0	R000	T4	C0	הֻלְזַשְׁתִּי	הלזשתי	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.1SG	SYN-LX-f8f70036c4.PST.1SG	ל	ז	שׁ
R000|T4|C1	R000	T4	C1	הֻלְזַשְׁתָּ	הלזשת	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.2MSG	SYN-LX-f8f70036c4.PST.2MSG	ל	ז	שׁ
R000|T4|C2	R000	T4	C2	הֻלְזַשְׁתְּ	הלזשת	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.2FSG	SYN-LX-f8f70036c4.PST.2FSG	ל	ז	שׁ
R000|T4|C3	R000	T4	C3	הֻלְזַשׁ	הלזש	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.3MSG	SYN-LX-f8f70036c4.PST.3MSG	ל	ז	שׁ
R000|T4|C4	R000	T4	C4	הֻלְזְשָׁה	הלזשה	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.3FSG	SYN-LX-f8f70036c4.PST.3FSG	ל	ז	שׁ
R000|T4|C5	R000	T4	C5	הֻלְזַשְׁנוּ	הלזשנו	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.1PL	SYN-LX-f8f70036c4.PST.1PL	ל	ז	שׁ
R000|T4|C6	R000	T4	C6	הֻלְזַשְׁתֶּם	הלזשתם	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.2MPL	SYN-LX-f8f70036c4.PST.2MPL	ל	ז	שׁ
R000|T4|C7	R000	T4	C7	הֻלְזַשְׁתֶּן	הלזשתן	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.2FPL	SYN-LX-f8f70036c4.PST.2FPL	ל	ז	שׁ
R000|T4|C8	R000	T4	C8	הֻלְזְשׁוּ	הלזשו	SYN-RT-e6bfdc3a00	לזשׁ	HUFAL	PST.3PL	SYN-LX-f8f70036c4.PST.3PL	ל	ז	שׁ
R000|T5|C0	R000	T5	C0	לָזַשְׁתִּי	לזשתי	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.1SG	SYN-LX-6b78d43c08.PST.1SG	ל	ז	שׁ
R000|T5|C1	R000	T5	C1	לָזַשְׁתָּ	לזשת	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.2MSG	SYN-LX-6b78d43c08.PST.2MSG	ל	ז	שׁ
R000|T5|C2	R000	T5	C2	לָזַשְׁתְּ	לזשת	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.2FSG	SYN-LX-6b78d43c08.PST.2FSG	ל	ז	שׁ
R000|T5|C3	R000	T5	C3	לָזַשׁ	לזש	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.3MSG	SYN-LX-6b78d43c08.PST.3MSG	ל	ז	שׁ
R000|T5|C4	R000	T5	C4	לָזְשָׁה	לזשה	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.3FSG	SYN-LX-6b78d43c08.PST.3FSG	ל	ז	שׁ
R000|T5|C5	R000	T5	C5	לָזַשְׁנוּ	לזשנו	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.1PL	SYN-LX-6b78d43c08.PST.1PL	ל	ז	שׁ
R000|T5|C6	R000	T5	C6	לְזַשְׁתֶּם	לזשתם	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.2MPL	SYN-LX-6b78d43c08.PST.2MPL	ל	ז	שׁ
R000|T5|C7	R000	T5	C7	לְזַשְׁתֶּן	לזשתן	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.2FPL	SYN-LX-6b78d43c08.PST.2FPL	ל	ז	שׁ
R000|T5|C8	R000	T5	C8	לָזְשׁוּ	לזשו	SYN-RT-e6bfdc3a00	לזשׁ	PAAL	PST.3PL	SYN-LX-6b78d43c08.PST.3PL	ל	ז	שׁ
R000|T6|C0	R000	T6	C0	הִתְלַזַּשְׁתִּי	התלזשתי	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.1SG	SYN-LX-6448c8cb0f.PST.1SG	ל	ז	שׁ
R000|T6|C1	R000	T6	C1	הִתְלַזַּשְׁתָּ	התלזשת	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.2MSG	SYN-LX-6448c8cb0f.PST.2MSG	ל	ז	שׁ
R000|T6|C2	R000	T6	C2	הִתְלַזַּשְׁתְּ	התלזשת	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.2FSG	SYN-LX-6448c8cb0f.PST.2FSG	ל	ז	שׁ
R000|T6|C3	R000	T6	C3	הִתְלַזֵּשׁ	התלזש	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.3MSG	SYN-LX-6448c8cb0f.PST.3MSG	ל	ז	שׁ
R000|T6|C4	R000	T6	C4	הִתְלַזְּשָׁה	התלזשה	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.3FSG	SYN-LX-6448c8cb0f.PST.3FSG	ל	ז	שׁ
R000|T6|C5	R000	T6	C5	הִתְלַזַּשְׁנוּ	התלזשנו	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.1PL	SYN-LX-6448c8cb0f.PST.1PL	ל	ז	שׁ
R000|T6|C6	R000	T6	C6	הִתְלַזַּשְׁתֶּם	התלזשתם	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.2MPL	SYN-LX-6448c8cb0f.PST.2MPL	ל	ז	שׁ
R000|T6|C7	R000	T6	C7	הִתְלַזַּשְׁתֶּן	התלזשתן	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.2FPL	SYN-LX-6448c8cb0f.PST.2FPL	ל	ז	שׁ
R000|T6|C8	R000	T6	C8	הִתְלַזְּשׁוּ	התלזשו	SYN-RT-e6bfdc3a00	לזשׁ	HITPAEL	PST.3PL	SYN-LX-6448c8cb0f.PST.3PL	ל	ז	שׁ
R001|T0|C0	R001	T0	C0	נִדְסַזְתִּי	נדסזתי	SYN-RT-f33608a133	דסז	NIFAL	PST.1SG	SYN-LX-c9dbfff18e.PST.1SG	ד	ס	ז
R001|T0|C1	R001	T0	C1	נִדְסַזְתָּ	נדסזת	SYN-RT-f33608a133	דסז	NIFAL	PST.2MSG	SYN-LX-c9dbfff18e.PST.2MSG	ד	ס	ז
R001|T0|C2	R001	T0	C2	נִדְסַזְתְּ	נדסזת	SYN-RT-f33608a133	דסז	NIFAL	PST.2FSG	SYN-LX-c9dbfff18e.PST.2FSG	ד	ס	ז
R001|T0|C3	R001	T0	C3	נִדְסַז	נדסז	SYN-RT-f33608a133	דסז	NIFAL	PST.3MSG	SYN-LX-c9dbfff18e.PST.3MSG	ד	ס	ז
R001|T0|C4	R001	T0	C4	נִדְסְזָה	נדסזה	SYN-RT-f33608a133	דסז	NIFAL	PST.3FSG	SYN-LX-c9dbfff18e.PST.3FSG	ד	ס	ז
R001|T0|C5	R001	T0	C5	נִדְסַזְנוּ	נדסזנו	SYN-RT-f33608a133	דסז	NIFAL	PST.1PL	SYN-LX-c9dbfff18e.PST.1PL	ד	ס	ז
R001|T0|C6	R001	T0	C6	נִדְסַזְתֶּם	נדסזתם	SYN-RT-f33608a133	דסז	NIFAL	PST.2MPL	SYN-LX-c9dbfff18e.PST.2MPL	ד	ס	ז
R001|T0|C7	R001	T0	C7	נִדְסַזְתֶּן	נדסזתן	SYN-RT-f33608a133	דסז	NIFAL	PST.2FPL	SYN-LX-c9dbfff18e.PST.2FPL	ד	ס	ז
R001|T0|C8	R001	T0	C8	נִדְסְזוּ	נדסזו	SYN-RT-f33608a133	דסז	NIFAL	PST.3PL	SYN-LX-c9dbfff18e.PST.3PL	ד	ס	ז
R001|T1|C0	R001	T1	C0	הִדְסַזְתִּי	הדסזתי	SYN-RT-f33608a133	דסז	HIFIL	PST.1SG	SYN-LX-9a5b2eeab4.PST.1SG	ד	ס	ז
R001|T1|C1	R001	T1	C1	הִדְסַזְתָּ	הדסזת	SYN-RT-f33608a133	דסז	HIFIL	PST.2MSG	SYN-LX-9a5b2eeab4.PST.2MSG	ד	ס	ז
R001|T1|C2	R001	T1	C2	הִדְסַזְתְּ	הדסזת	SYN-RT-f33608a133	דסז	HIFIL	PST.2FSG	SYN-LX-9a5b2eeab4.PST.2FSG	ד	ס	ז
R001|T1|C3	R001	T1	C3	הִדְסִיז	הדסיז	SYN-RT-f33608a133	דסז	HIFIL	PST.3MSG	SYN-LX-9a5b2eeab4.PST.3MSG	ד	ס	ז
R001|T1|C4	R001	T1	C4	הִדְסִיזָה	הדסיזה	SYN-RT-f33608a133	דסז	HIFIL	PST.3FSG	SYN-LX-9a5b2eeab4.PST.3FSG	ד	ס	ז
R001|T1|C5	R001	T1	C5	הִדְסַזְנוּ	הדסזנו	SYN-RT-f33608a133	דסז	HIFIL	PST.1PL	SYN-LX-9a5b2eeab4.PST.1PL	ד	ס	ז
R001|T1|C6	R001	T1	C6	הִדְסַזְתֶּם	הדסזתם	SYN-RT-f33608a133	דסז	HIFIL	PST.2MPL	SYN-LX-9a5b2eeab4.PST.2MPL	ד	ס	ז
R001|T1|C7	R001	T1	C7	הִדְסַזְתֶּן	הדסזתן	SYN-RT-f33608a133	דסז	HIFIL	PST.2FPL	SYN-LX-9a5b2eeab4.PST.2FPL	ד	ס	ז
R001|T1|C8	R001	T1	C8	הִדְסִיזוּ	הדסיזו	SYN-RT-f33608a133	דסז	HIFIL	PST.3PL	SYN-LX-9a5b2eeab4.PST.3PL	ד	ס	ז
R001|T2|C0	R001	T2	C0	דֻסַּזְתִּי	דסזתי	SYN-RT-f33608a133	דסז	PUAL	PST.1SG	SYN-LX-5614c38ac4.PST.1SG	ד	ס	ז
R001|T2|C1	R001	T2	C1	דֻסַּזְתָּ	דסזת	SYN-RT-f33608a133	דסז	PUAL	PST.2MSG	SYN-LX-5614c38ac4.PST.2MSG	ד	ס	ז
R001|T2|C2	R001	T2	C2	דֻסַּזְתְּ	דסזת	SYN-RT-f33608a133	דסז	PUAL	PST.2FSG	SYN-LX-5614c38ac4.PST.2FSG	ד	ס	ז
R001|T2|C3	R001	T2	C3	דֻסַּז	דסז	SYN-RT-f33608a133	דסז	PUAL	PST.3MSG	SYN-LX-5614c38ac4.PST.3MSG	ד	ס	ז
R001|T2|C4	R001	T2	C4	דֻסְּזָה	דסזה	SYN-RT-f33608a133	דסז	PUAL	PST.3FSG	SYN-LX-5614c38ac4.PST.3FSG	ד	ס	ז
R001|T2|C5	R001	T2	C5	דֻסַּזְנוּ	דסזנו	SYN-RT-f33608a133	דסז	PUAL	PST.1PL	SYN-LX-5614c38ac4.PST.1PL	ד	ס	ז
R001|T2|C6	R001	T2	C6	דֻסַּזְתֶּם	דסזתם	SYN-RT-f33608a133	דסז	PUAL	PST.2MPL	SYN-LX-5614c38ac4.PST.2MPL	ד	ס	ז
R001|T2|C7	R001	T2	C7	דֻסַּזְתֶּן	דסזתן	SYN-RT-f33608a133	דסז	PUAL	PST.2FPL	SYN-LX-5614c38ac4.PST.2FPL	ד	ס	ז
R001|T2|C8	R001	T2	C8	דֻסְּזוּ	דסזו	SYN-RT-f33608a133	דסז	PUAL	PST.3PL	SYN-LX-5614c38ac4.PST.3PL	ד	ס	ז
R001|T3|C0	R001	T3	C0	דִסַּזְתִּי	דסזתי	SYN-RT-f33608a133	דסז	PIEL	PST.1SG	SYN-LX-afb87cb35e.PST.1SG	ד	ס	ז
R001|T3|C1	R001	T3	C1	דִסַּזְתָּ	דסזת	SYN-RT-f33608a133	דסז	PIEL	PST.2MSG	SYN-LX-afb87cb35e.PST.2MSG	ד	ס	ז
R001|T3|C2	R001	T3	C2	דִסַּזְתְּ	דסזת	SYN-RT-f33608a133	דסז	PIEL	PST.2FSG	SYN-LX-afb87cb35e.PST.2FSG	ד	ס	ז
R001|T3|C3	R001	T3	C3	דִסֵּז	דסז	SYN-RT-f33608a133	דסז	PIEL	PST.3MSG	SYN-LX-afb87cb35e.PST.3MSG	ד	ס	ז
R001|T3|C4	R001	T3	C4	דִסְּזָה	דסזה	SYN-RT-f33608a133	דסז	PIEL	PST.3FSG	SYN-LX-afb87cb35e.PST.3FSG	ד	ס	ז
R001|T3|C5	R001	T3	C5	דִסַּזְנוּ	דסזנו	SYN-RT-f33608a133	דסז	PIEL	PST.1PL	SYN-LX-afb87cb35e.PST.1PL	ד	ס	ז
R001|T3|C6	R001	T3	C6	דִסַּזְתֶּם	דסזתם	SYN-RT-f33608a133	דסז	PIEL	PST.2MPL	SYN-LX-afb87cb35e.PST.2MPL	ד	ס	ז
R001|T3|C7	R001	T3	C7	דִסַּזְתֶּן	דסזתן	SYN-RT-f33608a133	דסז	PIEL	PST.2FPL	SYN-LX-afb87cb35e.PST.2FPL	ד	ס	ז
R001|T3|C8	R001	T3	C8	דִסְּזוּ	דסזו	SYN-RT-f33608a133	דסז	PIEL	PST.3PL	SYN-LX-afb87cb35e.PST.3PL	ד	ס	ז
R001|T4|C0	R001	T4	C0	הֻדְסַזְתִּי	הדסזתי	SYN-RT-f33608a133	דסז	HUFAL	PST.1SG	SYN-LX-42bdf99018.PST.1SG	ד	ס	ז
R001|T4|C1	R001	T4	C1	הֻדְסַזְתָּ	הדסזת	SYN-RT-f33608a133	דסז	HUFAL	PST.2MSG	SYN-LX-42bdf99018.PST.2MSG	ד	ס	ז
R001|T4|C2	R001	T4	C2	הֻדְסַזְתְּ	הדסזת	SYN-RT-f33608a133	דסז	HUFAL	PST.2FSG	SYN-LX-42bdf99018.PST.2FSG	ד	ס	ז
R001|T4|C3	R001	T4	C3	הֻדְסַז	הדסז	SYN-RT-f33608a133	דסז	HUFAL	PST.3MSG	SYN-LX-42bdf99018.PST.3MSG	ד	ס	ז
R001|T4|C4	R001	T4	C4	הֻדְסְזָה	הדסזה	SYN-RT-f33608a133	דסז	HUFAL	PST.3FSG	SYN-LX-42bdf99018.PST.3FSG	ד	ס	ז
R001|T4|C5	R001	T4	C5	הֻדְסַזְנוּ	הדסזנו	SYN-RT-f33608a133	דסז	HUFAL	PST.1PL	SYN-LX-42bdf99018.PST.1PL	ד	ס	ז
R001|T4|C6	R001	T4	C6	הֻדְסַזְתֶּם	הדסזתם	SYN-RT-f33608a133	דסז	HUFAL	PST.2MPL	SYN-LX-42bdf99018.PST.2MPL	ד	ס	ז
R001|T4|C7	R001	T4	C7	הֻדְסַזְתֶּן	הדסזתן	SYN-RT-f33608a133	דסז	HUFAL	PST.2FPL	SYN-LX-42bdf99018.PST.2FPL	ד	ס	ז
R001|T4|C8	R001	T4	C8	הֻדְסְזוּ	הדסזו	SYN-RT-f33608a133	דסז	HUFAL	PST.3PL	SYN-LX-42bdf99018.PST.3PL	ד	ס	ז
R001|T5|C0	R001	T5	C0	דָסַזְתִּי	דסזתי	SYN-RT-f33608a133	דסז	PAAL	PST.1SG	SYN-LX-39815f36c0.PST.1SG	ד	ס	ז
R001|T5|C1	R001	T5	C1	דָסַזְתָּ	דסזת	SYN-RT-f33608a133	דסז	PAAL	PST.2MSG	SYN-LX-39815f36c0.PST.2MSG	ד	ס	ז
R001|T5|C2	R001	T5	C2	דָסַזְתְּ	דסזת	SYN-RT-f33608a133	דסז	PAAL	PST.2FSG	SYN-LX-39815f36c0.PST.2FSG	ד	ס	ז
R001|T5|C3	R001	T5	C3	דָסַז	דסז	SYN-RT-f33608a133	דסז	PAAL	PST.3MSG	SYN-LX-39815f36c0.PST.3MSG	ד	ס	ז
R001|T5|C4	R001	T5	C4	דָסְזָה	דסזה	SYN-RT-f33608a133	דסז	PAAL	PST.3FSG	SYN-LX-39815f36c0.PST.3FSG	ד	ס	ז
R001|T5|C5	R001	T5	C5	דָסַזְנוּ	דסזנו	SYN-RT-f33608a133	דסז	PAAL	PST.1PL	SYN-LX-39815f36c0.PST.1PL	ד	ס	ז
R001|T5|C6	R001	T5	C6	דְסַזְתֶּם	דסזתם	SYN-RT-f33608a133	דסז	PAAL	PST.2MPL	SYN-LX-39815f36c0.PST.2MPL	ד	ס	ז
R001|T5|C7	R001	T5	C7	דְסַזְתֶּן	דסזתן	SYN-RT-f33608a133	דסז	PAAL	PST.2FPL	SYN-LX-39815f36c0.PST.2FPL	ד	ס	ז
R001|T5|C8	R001	T5	C8	דָסְזוּ	דסזו	SYN-RT-f33608a133	דסז	PAAL	PST.3PL	SYN-LX-39815f36c0.PST.3PL	ד	ס	ז
R001|T6|C0	R001	T6	C0	הִתְדַסַּזְתִּי	התדסזתי	SYN-RT-f33608a133	דסז	HITPAEL	PST.1SG	SYN-LX-e27d6058f0.PST.1SG	ד	ס	ז
R001|T6|C1	R001	T6	C1	הִתְדַסַּזְתָּ	התדסזת	SYN-RT-f33608a133	דסז	HITPAEL	PST.2MSG	SYN-LX-e27d6058f0.PST.2MSG	ד	ס	ז
R001|T6|C2	R001	T6	C2	הִתְדַסַּזְתְּ	התדסזת	SYN-RT-f33608a133	דסז	HITPAEL	PST.2FSG	SYN-LX-e27d6058f0.PST.2FSG	ד	ס	ז
R001|T6|C3	R001	T6	C3	הִתְדַסֵּז	התדסז	SYN-RT-f33608a133	דסז	HITPAEL	PST.3MSG	SYN-LX-e27d6058f0.PST.3MSG	ד	ס	ז
R001|T6|C4	R001	T6	C4	הִתְדַסְּזָה	התדסזה	SYN-RT-f33608a133	דסז	HITPAEL	PST.3FSG	SYN-LX-e27d6058f0.PST.3FSG	ד	ס	ז
R001|T6|C5	R001	T6	C5	הִתְדַסַּזְנוּ	התדסזנו	SYN-RT-f33608a133	דסז	HITPAEL	PST.1PL	SYN-LX-e27d6058f0.PST.1PL	ד	ס	ז
R001|T6|C6	R001	T6	C6	הִתְדַסַּזְתֶּם	התדסזתם	SYN-RT-f33608a133	דסז	HITPAEL	PST.2MPL	SYN-LX-e27d6058f0.PST.2MPL	ד	ס	ז
R001|T6|C7	R001	T6	C7	הִתְדַסַּזְתֶּן	התדסזתן	SYN-RT-f33608a133	דסז	HITPAEL	PST.2FPL	SYN-LX-e27d6058f0.PST.2FPL	ד	ס	ז
R001|T6|C8	R001	T6	C8	הִתְדַסְּזוּ	התדסזו	SYN-RT-f33608a133	דסז	HITPAEL	PST.3PL	SYN-LX-e27d6058f0.PST.3PL	ד	ס	ז
R002|T0|C0	R002	T0	C0	נִלְתַזְתִּי	נלתזתי	SYN-RT-d775e59f06	לתז	NIFAL	PST.1SG	SYN-LX-417bfa5450.PST.1SG	ל	ת	ז
R002|T0|C1	R002	T0	C1	נִלְתַזְתָּ	נלתזת	SYN-RT-d775e59f06	לתז	NIFAL	PST.2MSG	SYN-LX-417bfa5450.PST.2MSG	ל	ת	ז
R002|T0|C2	R002	T0	C2	נִלְתַזְתְּ	נלתזת	SYN-RT-d775e59f06	לתז	NIFAL	PST.2FSG	SYN-LX-417bfa5450.PST.2FSG	ל	ת	ז
R002|T0|C3	R002	T0	C3	נִלְתַז	נלתז	SYN-RT-d775e59f06	לתז	NIFAL	PST.3MSG	SYN-LX-417bfa5450.PST.3MSG	ל	ת	ז
R002|T0|C4	R002	T0	C4	נִלְתְזָה	נלתזה	SYN-RT-d775e59f06	לתז	NIFAL	PST.3FSG	SYN-LX-417bfa5450.PST.3FSG	ל	ת	ז
R002|T0|C5	R002	T0	C5	נִלְתַזְנוּ	נלתזנו	SYN-RT-d775e59f06	לתז	NIFAL	PST.1PL	SYN-LX-417bfa5450.PST.1PL	ל	ת	ז
R002|T0|C6	R002	T0	C6	נִלְתַזְתֶּם	נלתזתם	SYN-RT-d775e59f06	לתז	NIFAL	PST.2MPL	SYN-LX-417bfa5450.PST.2MPL	ל	ת	ז
