provenance_id	canonical_record_id	record_type	field_supported	source_name	source_url	source_file	source_version_or_commit	source_record_identifier	source_line_if_available	retrieval_date	parser_version	raw_source_value
SYN-PV0000012	SYN-LX-47e2cc93d0.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3ְתָּ
SYN-PV0000013	SYN-LX-47e2cc93d0.PST.2FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.2FSG		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3ְתְּ
SYN-PV0000014	SYN-LX-47e2cc93d0.PST.3MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.3MSG		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3
SYN-PV0000015	SYN-LX-47e2cc93d0.PST.3FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.3FSG		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ְ3ָה
SYN-PV0000016	SYN-LX-47e2cc93d0.PST.1PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.1PL		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3ְנוּ
SYN-PV0000017	SYN-LX-47e2cc93d0.PST.2MPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.2MPL		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3ְתֶּם
SYN-PV0000018	SYN-LX-47e2cc93d0.PST.2FPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.2FPL		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3ְתֶּן
SYN-PV0000019	SYN-LX-47e2cc93d0.PST.3PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.3PL		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ְ3וּ
SYN-PV0000020	SYN-LX-47e2cc93d0	lexeme	root+template	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	lexeme:בגז:NIFAL		generated (deterministic from config + seed)	0.1.0	"{""PST.3MSG"": ""נִ1ְ2ַ3"", ""PST.3FSG"": ""נִ1ְ2ְ3ָה"", ""PST.3PL"": ""נִ1ְ2ְ3וּ"", ""PST.1SG"": ""נִ1ְ2ַ3ְתִּי"", ""PST.2MSG"": ""נִ1ְ2ַ3ְתָּ"", ""PST.2FSG"": ""נִ1ְ2ַ3ְתְּ"", ""PST.1PL"": ""נִ1ְ2ַ3ְנוּ"", ""PST.2MPL"": ""נִ1ְ2ַ3ְתֶּם"", ""PST.2FPL"": ""נִ1ְ2ַ3ְתֶּן""}"
SYN-PV0000021	SYN-LX-5da518f6cb.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.1SG		generated (deterministic from config + seed)	0.1.0	1ִ2ַּ3ְתִּי
SYN-PV0000022	SYN-LX-5da518f6cb.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	1ִ2ַּ3ְתָּ
SYN-PV0000023	SYN-LX-5da518f6cb.PST.2FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.2FSG		generated (deterministic from config + seed)	0.1.0	1ִ2ַּ3ְתְּ
SYN-PV0000024	SYN-LX-5da518f6cb.PST.3MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.3MSG		generated (deterministic from config + seed)	0.1.0	1ִ2ֵּ3
SYN-PV0000025	SYN-LX-5da518f6cb.PST.3FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.3FSG		generated (deterministic from config + seed)	0.1.0	1ִ2ְּ3ָה
SYN-PV0000026	SYN-LX-5da518f6cb.PST.1PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.1PL		generated (deterministic from config + seed)	0.1.0	1ִ2ַּ3ְנוּ
SYN-PV0000027	SYN-LX-5da518f6cb.PST.2MPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.2MPL		generated (deterministic from config + seed)	0.1.0	1ִ2ַּ3ְתֶּם
SYN-PV0000028	SYN-LX-5da518f6cb.PST.2FPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.2FPL		generated (deterministic from config + seed)	0.1.0	1ִ2ַּ3ְתֶּן
SYN-PV0000029	SYN-LX-5da518f6cb.PST.3PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PIEL:PST.3PL		generated (deterministic from config + seed)	0.1.0	1ִ2ְּ3וּ
SYN-PV0000030	SYN-LX-5da518f6cb	lexeme	root+template	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	lexeme:בגז:PIEL		generated (deterministic from config + seed)	0.1.0	"{""PST.3MSG"": ""1ִ2ֵּ3"", ""PST.3FSG"": ""1ִ2ְּ3ָה"", ""PST.3PL"": ""1ִ2ְּ3וּ"", ""PST.1SG"": ""1ִ2ַּ3ְתִּי"", ""PST.2MSG"": ""1ִ2ַּ3ְתָּ"", ""PST.2FSG"": ""1ִ2ַּ3ְתְּ"", ""PST.1PL"": ""1ִ2ַּ3ְנוּ"", ""PST.2MPL"": ""1ִ2ַּ3ְתֶּם"", ""PST.2FPL"": ""1ִ2ַּ3ְתֶּן""}"
SYN-PV0000031	SYN-LX-646bf47d06.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.1SG		generated (deterministic from config + seed)	0.1.0	1ֻ2ַּ3ְתִּי
SYN-PV0000032	SYN-LX-646bf47d06.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	1ֻ2ַּ3ְתָּ
SYN-PV0000033	SYN-LX-646bf47d06.PST.2FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.2FSG		generated (deterministic from config + seed)	0.1.0	1ֻ2ַּ3ְתְּ
SYN-PV0000034	SYN-LX-646bf47d06.PST.3MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.3MSG		generated (deterministic from config + seed)	0.1.0	1ֻ2ַּ3
SYN-PV0000035	SYN-LX-646bf47d06.PST.3FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.3FSG		generated (deterministic from config + seed)	0.1.0	1ֻ2ְּ3ָה
SYN-PV0000036	SYN-LX-646bf47d06.PST.1PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.1PL		generated (deterministic from config + seed)	0.1.0	1ֻ2ַּ3ְנוּ
SYN-PV0000037	SYN-LX-646bf47d06.PST.2MPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.2MPL		generated (deterministic from config + seed)	0.1.0	1ֻ2ַּ3ְתֶּם
SYN-PV0000038	SYN-LX-646bf47d06.PST.2FPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.2FPL		generated (deterministic from config + seed)	0.1.0	1ֻ2ַּ3ְתֶּן
SYN-PV0000039	SYN-LX-646bf47d06.PST.3PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PUAL:PST.3PL		generated (deterministic from config + seed)	0.1.0	1ֻ2ְּ3וּ
SYN-PV0000040	SYN-LX-646bf47d06	lexeme	root+template	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	lexeme:בגז:PUAL		generated (deterministic from config + seed)	0.1.0	"{""PST.3MSG"": ""1ֻ2ַּ3"", ""PST.3FSG"": ""1ֻ2ְּ3ָה"", ""PST.3PL"": ""1ֻ2ְּ3וּ"", ""PST.1SG"": ""1ֻ2ַּ3ְתִּי"", ""PST.2MSG"": ""1ֻ2ַּ3ְתָּ"", ""PST.2FSG"": ""1ֻ2ַּ3ְתְּ"", ""PST.1PL"": ""1ֻ2ַּ3ְנוּ"", ""PST.2MPL"": ""1ֻ2ַּ3ְתֶּם"", ""PST.2FPL"": ""1ֻ2ַּ3ְתֶּן""}"
SYN-PV0000041	SYN-LX-42000590e5.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.1SG		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ַ3ְתִּי
SYN-PV0000042	SYN-LX-42000590e5.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ַ3ְתָּ
SYN-PV0000043	SYN-LX-42000590e5.PST.2FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.2FSG		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ַ3ְתְּ
SYN-PV0000044	SYN-LX-42000590e5.PST.3MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.3MSG		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ִי3
SYN-PV0000045	SYN-LX-42000590e5.PST.3FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.3FSG		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ִי3ָה
SYN-PV0000046	SYN-LX-42000590e5.PST.1PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.1PL		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ַ3ְנוּ
SYN-PV0000047	SYN-LX-42000590e5.PST.2MPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.2MPL		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ַ3ְתֶּם
SYN-PV0000048	SYN-LX-42000590e5.PST.2FPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.2FPL		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ַ3ְתֶּן
SYN-PV0000049	SYN-LX-42000590e5.PST.3PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HIFIL:PST.3PL		generated (deterministic from config + seed)	0.1.0	הִ1ְ2ִי3וּ
SYN-PV0000050	SYN-LX-42000590e5	lexeme	root+template	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	lexeme:בגז:HIFIL		generated (deterministic from config + seed)	0.1.0	"{""PST.3MSG"": ""הִ1ְ2ִי3"", ""PST.3FSG"": ""הִ1ְ2ִי3ָה"", ""PST.3PL"": ""הִ1ְ2ִי3וּ"", ""PST.1SG"": ""הִ1ְ2ַ3ְתִּי"", ""PST.2MSG"": ""הִ1ְ2ַ3ְתָּ"", ""PST.2FSG"": ""הִ1ְ2ַ3ְתְּ"", ""PST.1PL"": ""הִ1ְ2ַ3ְנוּ"", ""PST.2MPL"": ""הִ1ְ2ַ3ְתֶּם"", ""PST.2FPL"": ""הִ1ְ2ַ3ְתֶּן""}"
SYN-PV0000051	SYN-LX-54f1e54c50.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.1SG		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ַ3ְתִּי
SYN-PV0000052	SYN-LX-54f1e54c50.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ַ3ְתָּ
SYN-PV0000053	SYN-LX-54f1e54c50.PST.2FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.2FSG		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ַ3ְתְּ
SYN-PV0000054	SYN-LX-54f1e54c50.PST.3MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.3MSG		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ַ3
SYN-PV0000055	SYN-LX-54f1e54c50.PST.3FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.3FSG		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ְ3ָה
SYN-PV0000056	SYN-LX-54f1e54c50.PST.1PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.1PL		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ַ3ְנוּ
SYN-PV0000057	SYN-LX-54f1e54c50.PST.2MPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.2MPL		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ַ3ְתֶּם
SYN-PV0000058	SYN-LX-54f1e54c50.PST.2FPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.2FPL		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ַ3ְתֶּן
SYN-PV0000059	SYN-LX-54f1e54c50.PST.3PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HUFAL:PST.3PL		generated (deterministic from config + seed)	0.1.0	הֻ1ְ2ְ3וּ
SYN-PV0000060	SYN-LX-54f1e54c50	lexeme	root+template	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	lexeme:בגז:HUFAL		generated (deterministic from config + seed)	0.1.0	"{""PST.3MSG"": ""הֻ1ְ2ַ3"", ""PST.3FSG"": ""הֻ1ְ2ְ3ָה"", ""PST.3PL"": ""הֻ1ְ2ְ3וּ"", ""PST.1SG"": ""הֻ1ְ2ַ3ְתִּי"", ""PST.2MSG"": ""הֻ1ְ2ַ3ְתָּ"", ""PST.2FSG"": ""הֻ1ְ2ַ3ְתְּ"", ""PST.1PL"": ""הֻ1ְ2ַ3ְנוּ"", ""PST.2MPL"": ""הֻ1ְ2ַ3ְתֶּם"", ""PST.2FPL"": ""הֻ1ְ2ַ3ְתֶּן""}"
SYN-PV0000061	SYN-LX-3c81625bdc.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.1SG		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ַּ3ְתִּי
SYN-PV0000062	SYN-LX-3c81625bdc.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ַּ3ְתָּ
SYN-PV0000063	SYN-LX-3c81625bdc.PST.2FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.2FSG		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ַּ3ְתְּ
SYN-PV0000064	SYN-LX-3c81625bdc.PST.3MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.3MSG		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ֵּ3
SYN-PV0000065	SYN-LX-3c81625bdc.PST.3FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.3FSG		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ְּ3ָה
SYN-PV0000066	SYN-LX-3c81625bdc.PST.1PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.1PL		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ַּ3ְנוּ
SYN-PV0000067	SYN-LX-3c81625bdc.PST.2MPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.2MPL		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ַּ3ְתֶּם
SYN-PV0000068	SYN-LX-3c81625bdc.PST.2FPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.2FPL		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ַּ3ְתֶּן
SYN-PV0000069	SYN-LX-3c81625bdc.PST.3PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:HITPAEL:PST.3PL		generated (deterministic from config + seed)	0.1.0	הִתְ1ַ2ְּ3וּ
SYN-PV0000070	SYN-LX-3c81625bdc	lexeme	root+template	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	lexeme:בגז:HITPAEL		generated (deterministic from config + seed)	0.1.0	"{""PST.3MSG"": ""הִתְ1ַ2ֵּ3"", ""PST.3FSG"": ""הִתְ1ַ2ְּ3ָה"", ""PST.3PL"": ""הִתְ1ַ2ְּ3וּ"", ""PST.1SG"": ""הִתְ1ַ2ַּ3ְתִּי"", ""PST.2MSG"": ""הִתְ1ַ2ַּ3ְתָּ"", ""PST.2FSG"": ""הִתְ1ַ2ַּ3ְתְּ"", ""PST.1PL"": ""הִתְ1ַ2ַּ3ְנוּ"", ""PST.2MPL"": ""הִתְ1ַ2ַּ3ְתֶּם"", ""PST.2FPL"": ""הִתְ1ַ2ַּ3ְתֶּן""}"
SYN-PV0000071	SYN-RT-d80447359c	root	root	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	root:בגל		generated (deterministic from config + seed)	0.1.0	ב-ג-ל
SYN-PV0000072	SYN-LX-f874434d8f.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.1SG		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3ְתִּי
SYN-PV0000073	SYN-LX-f874434d8f.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3ְתָּ
SYN-PV0000074	SYN-LX-f874434d8f.PST.2FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.2FSG		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3ְתְּ
SYN-PV0000075	SYN-LX-f874434d8f.PST.3MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.3MSG		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3
SYN-PV0000076	SYN-LX-f874434d8f.PST.3FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.3FSG		generated (deterministic from config + seed)	0.1.0	1ָ2ְ3ָה
SYN-PV0000077	SYN-LX-f874434d8f.PST.1PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.1PL		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3ְנוּ
SYN-PV0000078	SYN-LX-f874434d8f.PST.2MPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.2MPL		generated (deterministic from config + seed)	0.1.0	1ְ2ַ3ְתֶּם
SYN-PV0000079	SYN-LX-f874434d8f.PST.2FPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.2FPL		generated (deterministic from config + seed)	0.1.0	1ְ2ַ3ְתֶּן
SYN-PV0000080	SYN-LX-f874434d8f.PST.3PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.3PL		generated (deterministic from config + seed)	0.1.0	1ָ2ְ3וּ
SYN-PV0000081	SYN-LX-f874434d8f	lexeme	root+template	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	lexeme:בגל:PAAL		generated (deterministic from config + seed)	0.1.0	"{""PST.3MSG"": ""1ָ2ַ3"", ""PST.3FSG"": ""1ָ2ְ3ָה"", ""PST.3PL"": ""1ָ2ְ3וּ"", ""PST.1SG"": ""1ָ2ַ3ְתִּי"", ""PST.2MSG"": ""1ָ2ַ3ְתָּ"", ""PST.2FSG"": ""1ָ2ַ3ְתְּ"", ""PST.1PL"": ""1ָ2ַ3ְנוּ"", ""PST.2MPL"": ""1ְ2ַ3ְתֶּם"", ""PST.2FPL"": ""1ְ2ַ3ְתֶּן""}"
SYN-PV0000082	SYN-LX-b58820c84e.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.1SG		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3ְתִּי
SYN-PV0000083	SYN-LX-b58820c84e.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3ְתָּ
